location,lat,lon,category,importance,impact,summary
"Iran",35.6892,51.3890,Chiến sự/Địa chính trị,10,10,"Mỹ đánh chìm hơn 30 tàu Iran, tập kích 200 mục tiêu trong 72h. Lãnh tụ Tối cao Khamenei thiệt mạng. Iran phóng tên lửa Khorramshahr-4 vào Tel Aviv và sân bay Ben Gurion."
"Israel - Tel Aviv",32.0853,34.7818,Chiến sự/Địa chính trị,10,10,"Israel dọa có 'bất ngờ' trong giai đoạn mới chiến sự. Iran phóng tên lửa nhắm Tel Aviv xuyên 7 lớp phòng thủ. Israel không kích tòa nhà Hội đồng Chuyên gia tại Qom."
"Mỹ - Washington D.C.",38.9072,77.0369,Chính trị/Ngoại giao,9,9,"Trump tuyên bố muốn tham gia chọn Lãnh tụ Tối cao Iran. Hạ viện bác đề xuất siết quyền Trump. Trump thay Bộ trưởng An ninh Nội địa (bà Noem)."
"Trung Đông - Vùng Vịnh",24.0,54.0,Kinh tế/Năng lượng,9,9,"Cuộc tháo chạy khỏi Vùng Vịnh giữa xung đột. Dầu Nga hưởng lợi từ gián đoạn cung ứng năng lượng. Xung đột địa chính trị ảnh hưởng giá vàng."
"Việt Nam - Hà Nội",21.0278,105.8342,Chính sách/Năng lượng,8,7,"Thủ tướng Phạm Minh Chính lập Tổ công tác bảo đảm an ninh năng lượng để ứng phó xung đột Trung Đông. Mục tiêu tăng trưởng 10%."
"Việt Nam - TP Hồ Chí Minh",10.8231,106.6297,Hạ tầng/Giao thông,8,8,"Đề xuất nâng cấp Vành đai 3 TP HCM từ 4 lên 8 làn (~60.000 tỷ đồng). Bảo tàng Hồ Chí Minh mở rộng 10 lần (11 ha)."
"Việt Nam - Đà Lạt",11.9404,108.4580,Pháp luật/An ninh,7,6,"Trần Văn Quốc (26 tuổi) bị khởi tố giết người vì lái ôtô say rượu lao vào đám đông, gây thương tích 7 người tại cây xăng đường Tô Hiến Thành."
"Việt Nam - Hà Nội - Phố Hàng Lược",21.0353,105.8491,Xã hội/Vệ sinh an toàn thực phẩm,5,4,"Quán bún riêu bị đình chỉ sau khi khách Trung Quốc phản ánh 'kém vệ sinh'."
"Việt Nam - Hà Tĩnh",18.3430,105.9057,Kinh tế/Tài chính,5,5,"Sở Tài chính Hà Tĩnh thông báo bán gần 30 kg vàng sở hữu toàn dân, giá hơn 142 tỷ đồng."
"Việt Nam",16.0,106.0,Kinh tế/Xuất khẩu,7,7,"Xuất khẩu đối mặt rủi ro kép: thuế quan Mỹ biến động và xung đột Trung Đông ảnh hưởng chuỗi cung ứng."
"Azerbaijan",40.4093,49.8671,Ngoại giao/An ninh,7,6,"Azerbaijan cáo buộc UAV Iran đánh trúng sân bay và gần trường học. Iran bác bỏ."
"Châu Âu",50.0,10.0,Ngoại giao/Chính trị,7,6,"Châu Âu không ủng hộ chiến dịch của Mỹ nhằm vào Iran, có lo ngại riêng về an ninh và kinh tế."
"Toàn cầu - Thị trường chip",0.0,0.0,Công nghệ/Bán dẫn,7,8,"Giá DRAM biến động từng giờ do thiếu hụt chip nhớ. Các ông lớn công nghệ thâu tóm nguồn cung."
"Malaysia",4.2105,101.9758,Thể thao/Pháp lý,6,5,"CAS bác hầu hết kháng cáo của Malaysia trong vụ 7 cầu thủ nhập tịch gian lận. AFC sẽ điều tra nhanh."
"Australia - Asian Cup nữ",25.2744,133.7751,Thể thao,4,3,"Iran hát quốc ca trở lại ở Asian Cup nữ 2026 tại Australia trước trận gặp chủ nhà."
"Việt Nam - Hà Nội",21.0278,105.8342,Giáo dục,5,5,"Phụ huynh Hà Nội thấp thỏm đợi Sở GD&ĐT chia khu vực thi tuyển lớp 10."
"Nga",61.5240,105.3188,Kinh tế/Năng lượng,8,7,"Nga hưởng lợi từ xung đột Trung Đông: tăng xuất khẩu dầu, cải thiện nguồn thu ngân sách."
"Mỹ - Florida",27.9944,81.7603,Quân sự/Quốc phòng,8,8,"CENTCOM tại Florida: Đô đốc Cooper thông báo Mỹ tập kích 200 mục tiêu Iran trong 72h, dùng vũ khí giá thấp hơn."
"Việt Nam - TP HCM - Bến Nhà Rồng",10.7600,106.7035,Văn hóa/Di tích,5,4,"Khu Bảo tàng Hồ Chí Minh tại cảng Nhà Rồng - Khánh Hội đề xuất mở rộng lên 11 ha, khánh thành dịp 2/9."
